,name,type,address,city,zip,state,phone,web,email,vocation,logo
10,Tecnihand,Silver,"c/ Casp, 118-120, Átic - 2 08013 Barcelona B Spain",Barcelona B,08013,Barcelona,936 816 170‬,http://www.tecnihand.com,odoo@tecnihand.com,,https://odoocdn.com/web/image/res.partner/1532020/avatar_512/Tecnihand?unique=9e9a385
11,"Voodoo Enterprise Software, S.L.",Silver,"Calle Ramón de Aguinaga, 18 28028 Madrid  Spain",Madrid,28028,Madrid,+34 913 61 27 29,http://www.voodoo.es,hola@voodoo.es,IT/Communication,https://odoocdn.com/web/image/res.partner/4936857/avatar_512/Voodoo%20Enterprise%20Software%2C%20S.L.?unique=e4977b6
12,GuadalTech Soluciones Tecnológicas,Silver,"Calle Aviación31,Edificio Vilaser,Ofic.1 41007 Sevilla  Spain",Sevilla,41007,Sevilla,+34 955 540 827,https://www.guadaltech.es/,federico.romero@guadaltech.es,IT/Communication,https://odoocdn.com/web/image/res.partner/15183/avatar_512/GuadalTech%20Soluciones%20Tecnol%C3%B3gicas?unique=3fab38c
13,PUNT SISTEMES SLU,Silver,"Corretger, 31; Parc Empresarial  46980 Paterna (Valencia)  Spain",Paterna (Valencia),46980,Valencia,963592833,http://www.puntsistemes.es,sferrer@puntsistemes.es,IT/Communication,https://odoocdn.com/web/image/res.partner/22115/avatar_512/PUNT%20SISTEMES%20SLU?unique=1c978f9
14,Acysos S.L.,Silver,"Miguel Astrain 18, 1º Oficina A-B 31006 Pamplona NA Spain",Pamplona NA,31006,Navarra,+34948238905 - +34876036455,https://www.acysos.com,info@acysos.com,Science/Technology,https://odoocdn.com/web/image/res.partner/80090/avatar_512/Acysos%20S.L.?unique=c70544e
15,Develoop Software,Silver,c/Enric Granados 32 Interior 08008 Barcelona  Spain,Barcelona,08008,Barcelona,+34 933 002 702,http://www.develoop.es,comercial@develoop.net,IT/Communication,https://odoocdn.com/web/image/res.partner/1821369/avatar_512/Develoop%20Software?unique=b3f7044
16,"InfinityLoop Sistemas, S.L.",Ready,"Calle Matías Padrón 97, piso 4, puerta A4 35004 Las Palmas de Gran Canaria  Spain",Las Palmas de Gran Canaria,35004,Las Palmas,+34 928 38 37 72,http://www.infinityloop.es,julian@infinityloop.es,Science/Technology,https://odoocdn.com/web/image/res.partner/1136132/avatar_512/InfinityLoop%20Sistemas%2C%20S.L.?unique=3ea6876
17,"FORGEFLOW, S.L.",Ready,"c/Muntaner 200, 3-3 08036 Barcelona  Spain",Barcelona,08036,Barcelona,(+34) 934615975,http://www.forgeflow.com,jordi.ballester@forgeflow.com,IT/Communication,https://odoocdn.com/web/image/res.partner/336863/avatar_512/FORGEFLOW%2C%20S.L.?unique=9b22a3e
18,"AVANZOSC, S.L",Ready,"Av. Julio Urkijo, 32-34 20720 Azkoitia, Gipuzkoa  Spain","Azkoitia, Gipuzkoa",20720,Guipúzcoa,4609181509880,http://www.avanzosc.es,ramondiez@avanzosc.es,,https://odoocdn.com/web/image/res.partner/721227/avatar_512/AVANZOSC%2C%20S.L?unique=76608b3
19,"BIRTUM SOLUCIONES, S.L.",Ready,Calle Casp 139 Entresuelo 2a 08013  Barcelona  Spain,Barcelona,08013,Barcelona,+34 932 46 06 07,http://www.birtum.com,odooes@birtum.com,IT/Communication,https://odoocdn.com/web/image/res.partner/6534845/avatar_512/BIRTUM%20SOLUCIONES%2C%20S.L.?unique=0d080b8
20,iTundra.com,Ready,"C  Churruca 75, 2o 2a 08301 Barcelona  Spain",Barcelona,08301,Barcelona,+34 93 775 63 20,http://www.itundra.com,vtorralba@itundra.com,Science/Technology,https://odoocdn.com/web/image/res.partner/1264902/avatar_512/iTundra.com?unique=a97f67f
21,Sygel Technology S.L.,Ready,Calle Alaba 61 08005 Barcelona  Spain,Barcelona,08005,Barcelona,+34 613 04 76 66,https://www.sygel.es/,info@sygel.es,IT/Communication,https://odoocdn.com/web/image/res.partner/2469870/avatar_512/Sygel%20Technology%20S.L.?unique=ec9c948
22,"AXGA Solutions, S.L.U.",Ready,"C/ Conde de Xiquena 9, 2º Izq 28004 Madrid  Spain",Madrid,28004,Madrid,+34623247789,http://www.axgasolutions.com,axga@axgasolutions.com,IT/Communication,https://odoocdn.com/web/image/res.partner/4311652/avatar_512/AXGA%20Solutions%2C%20S.L.U.?unique=44e0823
23,Dinaneo Internet Rentable S.L.,Ready,"Majuelo, 39 28224 Pozuelo de Alarcón  Spain",Pozuelo de Alarcón,28224,Madrid,+34 631 03 92 22,https://www.dinaneo.com/,sergio.zea@dinaneo.com,IT/Communication,https://odoocdn.com/web/image/res.partner/2249097/avatar_512/Dinaneo%20Internet%20Rentable%20S.L.?unique=4f34cf3
24,ENDEOS SL,Ready,"Alemania 100, 1ª planta Sabadell 08201 Sabadell  Spain",Sabadell,08201,Barcelona,+34 900 897 896,,info@endeos.com,IT/Communication,https://odoocdn.com/web/image/res.partner/2171082/avatar_512/ENDEOS%20SL?unique=f1daca9
25,Extreme Micro S.L.,Ready,Rda. Paisos Catalans 26 08304 Mataró  Spain,Mataró,08304,Barcelona,+34 937 99 90 21,https://pyming.com/,hola@pyming.com,,https://odoocdn.com/web/image/res.partner/1803689/avatar_512/Extreme%20Micro%20S.L.?unique=4783d74
26,"NextGenWebs, S.L.",Ready,Plz. Gerardo Salvador 1 46988 Paterna  Spain,Paterna,46988,Valencia,0034627414136,,odoo@naranjatec.com,IT/Communication,https://odoocdn.com/web/image/res.partner/5102796/avatar_512/NextGenWebs%2C%20S.L.?unique=d14d4d3
27,PESOL Consultoría Tecnológica,Ready,C/Juan de Juanes4F San Pedro del Pinatar 30740 Murcia  Spain,Murcia,30740,Murcia,+34 868 18 74 49,,info@pesol.es,Science/Technology,https://odoocdn.com/web/image/res.partner/1084035/avatar_512/PESOL%20Consultor%C3%ADa%20Tecnol%C3%B3gica?unique=4af8d1d
28,Global Business Home S.L.,Ready,"Calle padre espla 4 , planta 3 izq 03013 Alicante  Spain",Alicante,03013,Alicante,00966 55 862 0888,https://www.gbh-business.com/en/,a.hamad@gbh-business.com,IT/Communication,https://odoocdn.com/web/image/res.partner/3265091/avatar_512/Global%20Business%20Home%20S.L.?unique=b9a5d70
29,Fairhall Solutions S.L.,Ready,"Av.Ingnro Félix Sancho, 3P.I.las Salinas 11500 El Puerto de Santa Maria  Spain",El Puerto de Santa Maria,11500,Cádiz,49 821 999 737-60,http://www.fairhall.es,info@digitalxl.de,Science/Technology,https://odoocdn.com/web/image/res.partner/5271/avatar_512/Fairhall%20Solutions%20S.L.?unique=44e73e5
30,"Moduon Team, S. L.",Ready,"Calle Gredos 2, 1º B 28231 Las Rozas de Madrid M Spain",Las Rozas de Madrid M,28231,Madrid,+34 911 16 87 77,https://www.moduon.es,odoo@moduon.team,IT/Communication,https://odoocdn.com/web/image/res.partner/6300543/avatar_512/Moduon%20Team%2C%20S.%20L.?unique=71c14f9
31,"Anubía Soluciones en la nube, S.L.",Ready,"Calle Colón 26, 3er Piso, Oficina 1ª 36204 Vigo (Galicia)  Spain",Vigo (Galicia),36204,Pontevedra,+34 986 12 00 26,http://www.anubia.es,info@anubia.es,,https://odoocdn.com/web/image/res.partner/20204/avatar_512/Anub%C3%ADa%20Soluciones%20en%20la%20nube%2C%20S.L.?unique=822bed6
32,Iwan 21 Networks S.L.,Ready,"Av. Reino Unido, 9 1ª Planta Mod. 10 41012 Seville SE Spain",Seville SE,41012,Sevilla,+34 954 29 81 93,http://iwan21.net,comercial@iwan21.net;jacob.sanchez@iwan21.net,,https://odoocdn.com/web/image/res.partner/5821672/avatar_512/Iwan%2021%20Networks%20S.L.?unique=a52f71a
33,Nexta Digital Solutions,Ready,Camí Onda Cs Vell 2 12540 Vila-real CS Spain,Vila-real CS,12540,Castellón,+34964333170,https://nextads.es/,juanvi@gruponexta.com,IT/Communication,https://odoocdn.com/web/image/res.partner/5708451/avatar_512/Nexta%20Digital%20Solutions?unique=ae80ce5
34,PRAXYA SOLUCIONES S.L.U.,Ready,"Avenida Rey Don Juan Carlos I, 3 – Entreplanta Oficinas 102 y 105 Office 1 46900 Torrente (Valencia)  Spain",Torrente (Valencia),46900,Valencia,+34 963 010 087,http://www.praxya.com,aramirez@praxya.es,,https://odoocdn.com/web/image/res.partner/4130276/avatar_512/PRAXYA%20SOLUCIONES%20S.L.U.?unique=f576512
35,Cravit Spain,Ready,"Calle Méndez Núñez 2, 5B derecha 18003 Granada  Spain",Granada,18003,Granada,+34 634 55 15 13,https://www.cravit.nl/en,jaime.jt@cravit.es,,https://odoocdn.com/web/image/res.partner/7037661/avatar_512/Cravit%20Spain?unique=006cced
36,NUBISTALIA S.L.,Ready,Parque Tecnológico de Cantabria - Edificio 3000 39011 Santander  Spain,Santander,39011,Cantabria,+34 942 10 00 33,http://www.odoo-ondemand.es,mccourbis@gmail.com,,https://odoocdn.com/web/image/res.partner/21134/avatar_512/NUBISTALIA%20S.L.?unique=76f4504
37,AMP Software S.L.,Ready,CL MARQUESA DE ARGUESO 16 28019 MADRID  Spain,MADRID,28019,Madrid,+34 914 73 04 85,,jm.rodriguez@ampsoftware.com,IT/Communication,https://odoocdn.com/web/image/res.partner/4734771/avatar_512/AMP%20Software%20S.L.?unique=9759ea6
38,Herrera Sisternes S.L.,Ready,"Calle Marqués de Sotelo 5, 1º-A 46002 Valencia  Spain",Valencia,46002,Valencia,+34961 152 189,http://hsco.es/,tsisternes@hsco.es vherrera@hsco.es,,https://odoocdn.com/web/image/res.partner/2170413/avatar_512/Herrera%20Sisternes%20S.L.?unique=c3b3a73
39,IDEAS POSITIVAS GROUP S.L.,Ready,,,,,,,,,
40,"Ingesit Sistemas, S.L.",Ready,"Avenida Txorierri, 9 - Edificio Arteaga Dpto. 402 48160 Derio BI Spain",Derio BI,48160,Vizcaya,+34 610 52 33 63,,lmanzanedo@ingeos.es   	j.camiruaga@ingeos.es,,https://odoocdn.com/web/image/res.partner/6507676/avatar_512/Ingesit%20Sistemas%2C%20S.L.?unique=760ad59
41,PENTEC S.L,Ready,"Calle Antigua Senda Senent 8, 4ª Planta 46023 Valencia  Spain",Valencia,46023,Valencia,0034963937433,http://www.pentec.es/,admon@pentec.es  ,IT/Communication,https://odoocdn.com/web/image/res.partner/3248443/avatar_512/PENTEC%20S.L?unique=2cc86d4
42,"i2T Consultors en informatica i innovacio tecnologica, S.L.",Ready,"C/ Puigterra de Baix,5-9 1r 08241 Manresa B Spain",Manresa B,08241,Barcelona,+34 623 02 36 04,,"lead@i2tsite.com ,  dsarda@i2tsite.com",IT/Communication,https://odoocdn.com/web/image/res.partner/4588046/avatar_512/i2T%20Consultors%20en%20informatica%20i%20innovacio%20tecnologica%2C%20S.L.?unique=3f0c6f4
43,"Éticco Freelosophy, S.L.",Ready,"Carretera de la Estación de Viella Polígono de Monsagre, Nave 2, 2B 33429 Viella, Siero  Spain","Viella, Siero",33429,Asturias,+34 985 76 09 60,http://www.eticco.es,jesus.cases@eticco.es daniel.izquierdo@eticco.es,,https://odoocdn.com/web/image/res.partner/1099633/avatar_512/%C3%89ticco%20Freelosophy%2C%20S.L.?unique=9aaed96
44,"ALTERTECNIA Ingeniería, S.L.",Ready,Ronda Maiols nº 1 local 119 (EDIFICIO BMC) 08192 Sant Quirze del Vallès (Barcelona)  Spain,Sant Quirze del Vallès (Barcelona),08192,Barcelona,+34680623731,https://altertecnia.com/,jesus.salillas@altertecnia.com,,https://odoocdn.com/web/image/res.partner/5286644/avatar_512/ALTERTECNIA%20Ingenier%C3%ADa%2C%20S.L.?unique=c377b33
45,MCR Solutions Business Software SL,Ready,"Paseo del Ferrocarril, 339, 4a Planta, Castelldefels 08860 Barcelona  Spain",Barcelona,08860,Barcelona,+34 933 74 10 53,https://www.mcr-solutions.com/,monica.vazquez@mcr-solutions.com,IT/Communication,https://odoocdn.com/web/image/res.partner/2318475/avatar_512/MCR%20Solutions%20Business%20Software%20SL?unique=7fcff98
46,RRM consultoria,Ready,"Tres Creus, 236 08203 Sabadell  Spain",Sabadell,08203,Barcelona,+34 658261209 (David) +34 657891689 (Juan Pedro),,david.cantador@rrmconsultoria.es,IT/Communication,https://odoocdn.com/web/image/res.partner/5137657/avatar_512/RRM%20consultoria?unique=025a8af
47,Ymant Servicios Informaticos SL,Ready,"c/ Guardia Civil 26, bajo Bajo Izquierda 46020 Valencia  Spain",Valencia,46020,Valencia,+34 961 10 20 10,http://www.ymant.com/,comercial@ymant.com,IT/Communication,https://odoocdn.com/web/image/res.partner/1311522/avatar_512/Ymant%20Servicios%20Informaticos%20SL?unique=db4166e
48,GRANT THORNTON ADVISORY S.L.P.,Ready,Paseo de la Castellana 81 28046 Madrid  Spain,Madrid,28046,Madrid,+34 91 576 39 99 (centralita) / +34 91 399 41 19 (directo),http://www.grantthornton.es/,miguelangel.rodriguez@es.gt.com;leads.odoo@es.gt.com,Science/Technology,https://odoocdn.com/web/image/res.partner/8641825/avatar_512/GRANT%20THORNTON%20ADVISORY%20S.L.P.?unique=bee771f
49,Marlon Falcon Hernandez,Ready,"Benifairo de les valls, Finca 3083, Avenida de les valls 17 46511 valencia V Spain",valencia V,46511,Valencia,+34 662 47 06 45,http://www.marlonfalcon.com,mfalconapps@gmail.com,,https://odoocdn.com/web/image/res.partner/6368519/avatar_512/Marlon%20Falcon%20Hernandez?unique=71c14f9
50,Port Cities España,Ready,Calle Mozárabes 20 04720 Roquetas de Mar AL Spain,Roquetas de Mar AL,04720,Almería,+34 613 03 04 10,https://portcities.net/,espana@portcities.net,,https://odoocdn.com/web/image/res.partner/6492028/avatar_512/Port%20Cities%20Espa%C3%B1a?unique=760ad59
51,Zitycard,Ready,"Rodrigo Diaz de Vivar, 6 50006 Zaragoza  Spain",Zaragoza,50006,Zaragoza,+34 976 377 384,http://zitycard.es,"rpueyo@zitycard.com , marketing@zitycard.com",IT/Communication,https://odoocdn.com/web/image/res.partner/1098556/avatar_512/Zitycard?unique=650114b
52,brain-tec Spain S.L.,Ready,"Calle Velazquez 138 Bloque 2, Bajo B 28006 Madrid  Spain",Madrid,28006,Madrid,.,http://www.braintec-group.com,info@braintec-group.com,,https://odoocdn.com/web/image/res.partner/995356/avatar_512/brain-tec%20Spain%20S.L.?unique=0e73384
53,"AVANCEM AMB VOSTÈ, S.L.",Ready,,,,,,,,,
54,Conecta Wireless S.L.,Ready,"Barcelona, Spain Can Rabia 3-5, Planta 4 08017 Barcelona  Spain",Barcelona,08017,Barcelona,+34 932 05 86 41,,comercial@conecta-wireless.com,,https://odoocdn.com/web/image/res.partner/7336356/avatar_512/Conecta%20Wireless%20S.L.?unique=e224732
55,G97 TECH MARKETING S.L.,Ready,Rambla Catalunya 57 08007 Barcelona  Spain,Barcelona,08007,Barcelona,+34 628 45 97 46,,juan@growth97.com,,https://odoocdn.com/web/image/res.partner/7651276/avatar_512/G97%20TECH%20MARKETING%20S.L.?unique=3ea6876
56,Ingesis Automatizacion S.L.,Ready,"Calle Jornalers, 33 Poligono Industrial Sepes 46260 Alberic  Spain",Alberic,46260,Valencia,+34 679 46 95 15,http://www.ingesis.es,jdomenech@ingesis.es,,https://odoocdn.com/web/image/res.partner/7619199/avatar_512/Ingesis%20Automatizacion%20S.L.?unique=3ea6876
57,Quilsoft España,Ready,"C. de Pallars, 294  Barcelona  Spain",,,,,https://www.quilsoft.com/,espana@quilsoft.com,,https://odoocdn.com/web/image/res.partner/7455409/avatar_512/Quilsoft%20Espa%C3%B1a?unique=01181d2
58,"Soluciones para la Transformación Digital XXI, S.L.U.",Ready,"Andador del Palacio de Larrinaga, 1 local   Z Spain",,,,+34 976 92 71 07,http://stdcore.com,proyectos@stdcore.com,IT/Communication,https://odoocdn.com/web/image/res.partner/5155237/avatar_512/Soluciones%20para%20la%20Transformaci%C3%B3n%20Digital%20XXI%2C%20S.L.U.?unique=5de183d
